ORDER_ID	CUSTOMER_ID	ORDER_DATE	SHIPPING_DATE	PRODUCT_ID	PRODUCT_NAME	PRODUCT_CATEGORY	NAME	GENDER	STREET_ADDRESS	CITY	STATE	POSTAL_CODE	COUNTRY	YEAR_OF_BIRTH	DESCRIPTION	DATA_COLLECTED
1000001	9	10/6/2017	10/11/2017	994	NULL	PET WATER FILTERS	VIRAJ SHAKUR	FEMALE	69734 E CARRILLO ST	WARREN	TN	37110	US	NULL	NULL	ACME
1000002	6	3/8/2017	3/10/2017	1002	NULL	AUTO OIL FILTERS	EDITH BUNKER	FEMALE	86 TRESS FALLS ST	TORONTO	ON	M4C 1R1	CA	NULL	NULL	ACME
1000003	16	3/15/2017	3/22/2017	995	NULL	WATER FILTERS	SHAWN CHACON	MALE	6 ARCH ST #9757	RED DEER	AB	T4R 2H5	CA	NULL	NULL	ACME
1000006	8	6/12/2017	6/16/2017	993	NULL	PET WATER FILTERS	JENNIFER GARETH	FEMALE	73 STATE ROAD 434 E	MARICOPA	AZ	85013	US	NULL	NULL	ACME
1000007	7	3/14/2017	3/19/2017	997	NULL	WATER FILTERS	LAKSHMI ROHANNA	FEMALE	25 E 75TH ST	LOS ANGELES	CA	90034	US	NULL	NULL	ACME
1000008	5	6/20/2017	6/26/2017	1002	NULL	AUTO OIL FILTERS	GEERT ORWELL	MALE	10 PARK ST	BUTLER	OH	45011	US	NULL	NULL	ACME
1000009	10	9/26/2017	9/27/2017	1001	NULL	AUTO AIR FILTERS	SUN WONG	FEMALE	10 WESTMINSTER ST	SOMERVILLE	MA	02144	US	NULL	NULL	ACME
1000010	5	8/23/2017	8/29/2017	998	NULL	WATER FILTERS	GEERT ORWELL	MALE	10 PARK ST	BUTLER	OH	45011	US	NULL	NULL	ACME
1000012	11	6/9/2017	6/13/2017	994	NULL	PET WATER FILTERS	SUDHIR ABBOGOTTU	MALE	10276 BROOKS ST	SAN FRANCISCO	CA	94105	US	NULL	NULL	ACME
1000013	14	7/16/2017	7/18/2017	1002	NULL	AUTO OIL FILTERS	BROOKE MILES	FEMALE	63 SMITH LN #8343	CLAY	TN	38575	US	NULL	NULL	ACME
1000014	18	7/2/2017	7/5/2017	999	NULL	HOME AIR FILTERS	KEITH ELLINGTON	NULL	13 GUNNISON ST	PLANO	TX	75075	US	NULL	NULL	ACME
